"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 00:40:00","EST","GENESE",61753,1052.8
"12/13/2019 00:40:00","EST","HUD VL",61758,1034.6
"12/13/2019 00:40:00","EST","LONGIL",61762,2052.5
"12/13/2019 00:40:00","EST","MHK VL",61756,899.2
"12/13/2019 00:40:00","EST","MILLWD",61759,328
"12/13/2019 00:40:00","EST","N.Y.C.",61761,5036.1
"12/13/2019 00:40:00","EST","NORTH",61755,621.5
"12/13/2019 00:40:00","EST","WEST",61752,1585.3
"12/13/2019 00:45:00","EST","CAPITL",61757,1262.8
"12/13/2019 00:45:00","EST","CENTRL",61754,1760.9
"12/13/2019 00:45:00","EST","DUNWOD",61760,576
"12/13/2019 00:45:00","EST","GENESE",61753,1044.7
"12/13/2019 00:45:00","EST","HUD VL",61758,1013.3
"12/13/2019 00:45:00","EST","LONGIL",61762,2043.7
"12/13/2019 00:45:00","EST","MHK VL",61756,895
"12/13/2019 00:45:00","EST","MILLWD",61759,345
"12/13/2019 00:45:00","EST","N.Y.C.",61761,5030.9
"12/13/2019 00:45:00","EST","NORTH",61755,616.2
"12/13/2019 00:45:00","EST","WEST",61752,1588.8
"12/13/2019 00:50:00","EST","CAPITL",61757,1249.5
"12/13/2019 00:50:00","EST","CENTRL",61754,1749.7
"12/13/2019 00:50:00","EST","DUNWOD",61760,574
"12/13/2019 00:50:00","EST","GENESE",61753,1036.9
"12/13/2019 00:50:00","EST","HUD VL",61758,995.7
"12/13/2019 00:50:00","EST","LONGIL",61762,2030.9
"12/13/2019 00:50:00","EST","MHK VL",61756,894.9
"12/13/2019 00:50:00","EST","MILLWD",61759,324.8
"12/13/2019 00:50:00","EST","N.Y.C.",61761,5011.7
"12/13/2019 00:50:00","EST","NORTH",61755,607.4
"12/13/2019 00:50:00","EST","WEST",61752,1570.5
"12/13/2019 00:55:00","EST","CAPITL",61757,1245.2
"12/13/2019 00:55:00","EST","CENTRL",61754,1748
"12/13/2019 00:55:00","EST","DUNWOD",61760,572.1
"12/13/2019 00:55:00","EST","GENESE",61753,1044.9
"12/13/2019 00:55:00","EST","HUD VL",61758,1018.6
"12/13/2019 00:55:00","EST","LONGIL",61762,2028.8
"12/13/2019 00:55:00","EST","MHK VL",61756,905.1
"12/13/2019 00:55:00","EST","MILLWD",61759,326.7
"12/13/2019 00:55:00","EST","N.Y.C.",61761,4983.1
"12/13/2019 00:55:00","EST","NORTH",61755,604.4
"12/13/2019 00:55:00","EST","WEST",61752,1575.8
"12/13/2019 01:00:00","EST","CAPITL",61757,1241.7
"12/13/2019 01:00:00","EST","CENTRL",61754,1758.3
"12/13/2019 01:00:00","EST","DUNWOD",61760,561.6
"12/13/2019 01:00:00","EST","GENESE",61753,1040.2
"12/13/2019 01:00:00","EST","HUD VL",61758,1003.8
"12/13/2019 01:00:00","EST","LONGIL",61762,2015.3
"12/13/2019 01:00:00","EST","MHK VL",61756,886.6
"12/13/2019 01:00:00","EST","MILLWD",61759,334.6
"12/13/2019 01:00:00","EST","N.Y.C.",61761,4959.5
"12/13/2019 01:00:00","EST","NORTH",61755,600.5
"12/13/2019 01:00:00","EST","WEST",61752,1584.6
"12/13/2019 01:05:00","EST","CAPITL",61757,1234
"12/13/2019 01:05:00","EST","CENTRL",61754,1749.4
"12/13/2019 01:05:00","EST","DUNWOD",61760,578.6
"12/13/2019 01:05:00","EST","GENESE",61753,1041.1
"12/13/2019 01:05:00","EST","HUD VL",61758,991.8
